topic,topic_label,word_index,weight,word
1,1,303,0.2005574442979181,charge
1,1,67,0.06518541786799685,pay
1,1,507,0.019912754659557316,month
1,1,50,0.015135910408561179,contact
1,1,390,0.013487478380683711,like
1,1,209,0.013211673869095697,refund
1,1,134,0.012537467541554636,time
1,1,430,0.010737956404738251,debit
1,1,1070,0.010005541336541994,reverse
1,1,69,0.00998972936115415,payments
2,2,181,0.2125924811459895,fee
2,2,143,0.09784042185589926,credit
2,2,303,0.06456998131901881,charge
2,2,712,0.04530682583788639,annual_fee
2,2,581,0.039447037137397445,break_free
2,2,395,0.036611402052988226,package
2,2,130,0.02778954347045706,service
2,2,1070,0.019893162514428603,reverse
2,2,944,0.019540870479471558,waive
2,2,1202,0.012868225604856566,late_payment
3,3,313,0.1454020180389291,close
3,3,668,0.05239547703018904,apply
3,3,143,0.042584022678166966,credit
3,3,73,0.040097618895669006,receive
3,3,124,0.023943848972265407,process
3,3,447,0.01694301701007755,balance
3,3,599,0.01249808388395499,bonus
3,3,9,0.009332529781500147,email
3,3,562,0.009327470248827298,closure
3,3,568,0.00927893111163421,financial_ombudsman
4,4,73,0.07897145744130475,receive
4,4,225,0.042012267319030835,happy
4,4,85,0.041825267304238946,want
4,4,72,0.041194063657496484,provide
4,4,30,0.022446656215433927,request
4,4,456,0.018606233835697854,statements
4,4,233,0.015717243310593425,send
4,4,140,0.015324825344995527,apologise
4,4,230,0.014338028140782517,letter
4,4,222,0.01278681442677105,dispute
5,5,143,0.0786621183602029,credit
5,5,162,0.07227068395026576,offer
5,5,299,0.051654250426194426,point
5,5,298,0.0434376988180529,frequent_flyer
5,5,668,0.042001376515209424,apply
5,5,891,0.027718707713674653,bonus_points
5,5,529,0.024543147118799215,black
5,5,225,0.022423305048559064,happy
5,5,277,0.019004981441489405,platinum
5,5,87,0.016557504144232908,application
6,6,143,0.18965727086706088,credit
6,6,222,0.01628244291247364,dispute
6,6,144,0.01621940598229862,issue
6,6,280,0.012109503972284295,statement
6,6,442,0.0096030983101286,transactions
6,6,72,0.009515740101840227,provide
6,6,281,0.009475171615746064,transaction
6,6,679,0.009273061820252865,resolve
6,6,3,0.007921660429311169,claim
6,6,430,0.007779979168829805,debit
7,7,209,0.034640703421506235,refund
7,7,67,0.030556231264351193,pay
7,7,364,0.02807947488124278,offset
7,7,222,0.022143706943903815,dispute
7,7,120,0.021265730341717724,payment
7,7,78,0.021212008603766104,state
7,7,73,0.02024812597356747,receive
7,7,259,0.017979095183034744,end
7,7,13,0.015503295721326056,fund
7,7,581,0.012922815857835467,break_free
8,8,233,0.0356132510087436,send
8,8,9,0.02945992053617677,email
8,8,144,0.018591951667812835,issue
8,8,50,0.01847545109016013,contact
8,8,134,0.013148280454501471,time
8,8,46,0.011904652853491357,business
8,8,64,0.010920724733517075,need
8,8,552,0.010326398120611157,phone
8,8,0,0.010212332086599149,address
8,8,130,0.00913897949382133,service
9,9,181,0.22015286063718584,fee
9,9,294,0.039322881479609495,change
9,9,225,0.021777405523179024,happy
9,9,85,0.020354087103535298,want
9,9,678,0.013337393486284078,rate
9,9,1070,0.012367592988731267,reverse
9,9,944,0.012135619060917794,waive
9,9,84,0.010742644973971028,unhappy
9,9,139,0.009377264593408449,years
9,9,1202,0.00829939820861045,late_payment
10,10,299,0.14510751676974348,point
10,10,313,0.06547624011352371,close
10,10,298,0.04351498560519774,frequent_flyer
10,10,891,0.030109397691308777,bonus_points
10,10,274,0.02478694551265767,open
10,10,893,0.023942338420361604,eligible
10,10,685,0.017427048392406976,new
10,10,529,0.015896420327650165,black
10,10,301,0.01536975985674704,reward
10,10,1938,0.013425070471074146,k_bonus
11,11,30,0.09546595704518354,request
11,11,120,0.04946414878870272,payment
11,11,46,0.02878903659354845,business
11,11,280,0.027512086928660123,statement
11,11,220,0.021878007153901032,date
11,11,5,0.018007893835819713,confirm
11,11,303,0.014939263418309643,charge
11,11,140,0.009745635325304867,apologise
11,11,679,0.009155926892583715,resolve
11,11,124,0.008483275475452091,process
12,12,39,0.08408403982027025,transfer
12,12,13,0.07655425411127786,fund
12,12,171,0.0681591389934758,branch
12,12,18,0.017151304235971783,money
12,12,317,0.014260120908182317,deposit
12,12,50,0.012359382959447366,contact
12,12,311,0.010367552414681524,cheque
12,12,471,0.009163757880662569,access
12,12,64,0.008254804555993932,need
12,12,2092,0.007927204462069322,international
13,13,63,0.04556859358806166,loan
13,13,67,0.021647337554260973,pay
13,13,134,0.01761829037993492,time
13,13,294,0.016830426601109425,change
13,13,133,0.016764725760128503,tell
13,13,90,0.014758661191392804,ask
13,13,85,0.009320990831168018,want
13,13,18,0.006519379249666642,money
13,13,685,0.006448294761386051,new
13,13,266,0.006420672775648387,home_loan
14,14,63,0.14606716396976352,loan
14,14,364,0.024529099691019907,offset
14,14,678,0.021773244628758025,rate
14,14,266,0.013717204150894677,home_loan
14,14,450,0.011150849234664494,discuss
14,14,519,0.009928748255973384,settlement
14,14,294,0.009546196684986867,change
14,14,172,0.008510120171147904,broker
14,14,464,0.00827589046482355,mortgage
14,14,732,0.008155470105792234,fixed_rate
15,15,171,0.10712663225434699,branch
15,15,130,0.0352130990565088,service
15,15,357,0.0287974818345943,staff
15,15,140,0.015357217586883696,apologise
15,15,398,0.014988992456560601,poor_service
15,15,134,0.013409706606992037,time
15,15,162,0.013009226048407227,offer
15,15,461,0.012940035069771616,manager
15,15,133,0.01251216922432372,tell
15,15,390,0.009337201146629937,like
